Tema                            |Texto                          |Problemas                  |Algoritmario
-------------------------------------------------------------------------------------------------------------------------
Tarjan                          |                               |                           |
XOR-Basis                       |                               |                           |
Matrix-Exp                      |                               |                           |
Dinic-Flows                     |                               |                           |
Segment-Tree                    |                               |                           |
Fenwick-Tree                    |                               |                           |
Centroid Decomposition          |                               |                           |
2Sat                            |                               |                           |
Nim's-Game                      |                               |                           |
LCA                             |                               |                           |

Example                         |                               |                           |
Example                         |                               |                           |
Example                         |✔                              |✖                          |✔
